parameter_id,IMPC_ECH_002_001
gene_symbol,Morn5
mouse_strain,C50BL
pvalue,0.670415
parameter_name,End-Diastolic Diameter
analysis_id,2t41m3w07h3m2kr
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
