gene_symbol,Cntfr
analysis_id,k0ouq9m1j8dh0w7
pvalue,0.3896869
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
