analysis_id,s0327mm57og02ij
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Lpgat1
parameter_id,IMPC_HEM_006_001
pvalue,0.4398094
gene_accession_id,MGI:2446186
parameter_name,Mean corpuscular hemoglobin
