analysis_id,8i5fvg5vo44a86h
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
gene_symbol,Bach2
pvalue,0.5990437
parameter_name,Prepulse inhibition - PP4
