parameter_name,Periphery permanence time
pvalue,0.25645
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
analysis_id,70z66sjh0ljn0b8
gene_symbol,Rgs20
mouse_strain,C57BL
gene_accession_id,MGI:1929866
