gene_symbol,Abo
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1843266
parameter_id,IMPC_EYE_092_001
parameter_name,Retina (combined)
analysis_id,0306xd290w395pu
gene_accession_id,MGI:2135738
