analysis_id,o7crq25allav45e
parameter_name,White blood cell count
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,IMPC_HEM_001_001
pvalue,0.6663445
mouse_strain,C57BL
mouse_life_stage,Late adult
