parameter_id,GMC_906_001_005
gene_accession_id,MGI:1921262
analysis_id,2w12c3xnh260e9d
gene_symbol,Rap2b
mouse_strain,C57BL
pvalue,0.5075849
parameter_name,Potassium
mouse_life_stage,Early adult
