parameter_name,Vitreous
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:1919107
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,086g2ug9x1ja02e
gene_symbol,Slc17a9
pvalue,0.5938915
