parameter_name,Humerus
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
analysis_id,7fdln0u786o624m
parameter_id,IMPC_XRY_021_001
pvalue,0.1783197
