gene_symbol,Clvs1
pvalue,0.6851296
analysis_id,bp82gmcm211svm8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cornea vascularisation
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:1921688
