parameter_name,Light side time spent
analysis_id,43t7h7b3jpn0293
gene_symbol,Eprs1
mouse_life_stage,E12.5
parameter_id,JAX_LDT_002_001
pvalue,0.5763436
mouse_strain,C57BL
gene_accession_id,MGI:97838
