analysis_id,8175l6959350mtb
parameter_id,MGP_MLN_074_001
gene_symbol,Dmap1
mouse_life_stage,E12.5
pvalue,0.7760049
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1913483
mouse_strain,C58BL
