parameter_name,Total bilirubin
mouse_strain,C57BL
pvalue,0.9919572
gene_symbol,Lcn2
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:96757
analysis_id,4cjid2glx8u3zhp
mouse_life_stage,Early adult
