mouse_life_stage,E18.5
parameter_id,IMPC_FEA_003_001
analysis_id,d62wc2h1x8x6h64
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.5015517
mouse_strain,C57BL
