mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,IMPC_OFD_018_001
analysis_id,nharwka1epmu78v
mouse_strain,C57BL
pvalue,0.6728008
parameter_name,Latency to center entry
