analysis_id,4os668r7979ohp7
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
pvalue,0.6824898
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
