analysis_id,9yi76c181cb8rlm
parameter_name,PQ
mouse_strain,C57BL
gene_symbol,Ssr2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
parameter_id,IMPC_ECG_005_001
pvalue,0.4404818
