analysis_id,dxa12kk4k6902n6
gene_accession_id,MGI:1929866
mouse_strain,C57BL
gene_symbol,Rgs20
pvalue,0.3954988
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
