parameter_name,Embryo Size
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,C57BL
pvalue,0.0638814
mouse_life_stage,Early adult
analysis_id,k7y13r961176qa9
parameter_id,IMPC_GEL_032_001
