parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
analysis_id,l65718ivffhd637
pvalue,0.1427679
gene_symbol,Hnf4a
gene_accession_id,MGI:109128
mouse_strain,C57BL
mouse_life_stage,Late adult
