analysis_id,h7et6i9v0x8g483
parameter_id,IMPC_CSD_016_001
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2948339
gene_symbol,Maco1
gene_accession_id,MGI:1913396
