mouse_strain,B6J
pvalue,0.3895412
gene_symbol,Nr0b2
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
analysis_id,k56st1n6vdwuzj1
gene_accession_id,MGI:1346344
parameter_name,Gait
