analysis_id,a86tg46209f7111
parameter_name,CV
gene_symbol,Hspa5
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
mouse_strain,C57BL
pvalue,0.3706954
parameter_id,IMPC_ECG_003_001
