analysis_id,s9k023b3tpvb3a8
parameter_name,Glucose response AUC
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1923029
pvalue,0.7597427
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
