analysis_id,g981n1rsl9125m5
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
pvalue,0.2328836
