parameter_name,Lens
mouse_strain,C57BL
pvalue,0.3074589
gene_symbol,Ufc1
analysis_id,vf4438805eg4h43
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_016_001
