analysis_id,0p6n4uv9t1vr4op
mouse_life_stage,Early adult
pvalue,0.07755989
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:1914583
parameter_name,Total NK cells - % of CD45+
gene_symbol,Stk35
