analysis_id,3ba519y95150w0i
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
gene_symbol,Pld1
pvalue,0.5477221
parameter_name,Triglycerides
gene_accession_id,MGI:109585
mouse_strain,C57BL
