analysis_id,9104dpty626t7qe
parameter_name,Periphery permanence time
pvalue,0.2814345
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
