gene_symbol,Toporsl
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1915524
mouse_strain,C57BL
pvalue,0.4492424
analysis_id,o9gg3jci8pezu6i
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
