analysis_id,99js0f655j6g722
parameter_id,ESLIM_016_001_002
pvalue,0.7047761
mouse_life_stage,Early adult
parameter_name,Red blood cell count
mouse_strain,C57BL
gene_symbol,Cpa3
gene_accession_id,MGI:88479
