gene_symbol,Med22
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.09539311
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
analysis_id,06n2563my4z7119
parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
