gene_symbol,Fpgs
parameter_name,Thoracic processes
mouse_life_stage,Early adult
pvalue,0.7651761
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:95576
analysis_id,6y78us90xbp5n07
mouse_strain,C57BL
