parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
parameter_name,Body weight
analysis_id,79182961v43pqk7
gene_symbol,Ift74
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
pvalue,0.4525245
