analysis_id,a7npbj82t1z75pf
pvalue,0.2606188
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
gene_symbol,Frmpd1
parameter_id,MGP_MLN_001_001
