analysis_id,17036t5e4r172pd
pvalue,0.2656334
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEO_009_002
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Hemorrhage
mouse_life_stage,Early adult
