analysis_id,74l851f781ge146
gene_symbol,Opn3
parameter_id,MGP_MLN_063_001
pvalue,0.4500908
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
