gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_name,Sodium
mouse_life_stage,Early adult
mouse_strain,C54BL
parameter_id,IMPC_CBC_001_001
pvalue,0.3244796
analysis_id,hma118m395p79c6
