analysis_id,p9tofnko2623266
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,0.1669955
gene_symbol,F2
mouse_strain,C57BL
