gene_symbol,Grem2
parameter_name,Large Unstained Cell (LUC) count
analysis_id,019r7peiw8l04au
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1695182
gene_accession_id,MGI:1344367
parameter_id,IMPC_HEM_039_001
