gene_symbol,Med22
parameter_name,RR
gene_accession_id,MGI:98446
pvalue,0.4460575
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
analysis_id,nlca505ee04qc0y
