parameter_name,Periphery distance travelled
pvalue,0.3249617
analysis_id,74gdo8955hbddl9
parameter_id,ESLIM_007_001_006
gene_symbol,Slc28a2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913105
