parameter_name,Retina (combined)
pvalue,0.9186348
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
gene_symbol,Cpa3
analysis_id,sm5ki5p9n54qvl1
mouse_strain,C57BL
