analysis_id,fm67b57med960e3
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Body weight
pvalue,0.1637579
gene_symbol,Mapkap1
parameter_id,M-G-P_009_001_003
mouse_life_stage,E15.5
