parameter_id,M-G-P_014_001_001
gene_symbol,Bmi1
analysis_id,e56bu6ca11k0551
parameter_name,Eye
mouse_strain,C57BL
pvalue,0.3142792
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
