analysis_id,cc9879tj01e89i3
gene_accession_id,MGI:1924360
mouse_strain,C57BL
pvalue,0.6190586
parameter_name,Creatinine
gene_symbol,Gpbp1l1
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
