gene_symbol,Nucks1
analysis_id,7id62x411410bdo
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,M-G-P_016_001_006
pvalue,0.5923531
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:1934811
