parameter_name,Total protein
mouse_strain,C56BL
parameter_id,IMPC_CBC_006_001
pvalue,0.5352619
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_life_stage,Early adult
analysis_id,23899t0973y1f77
