gene_symbol,Rap2b
pvalue,0.6227798
gene_accession_id,MGI:1921262
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
analysis_id,6xd374vh7k78889
mouse_strain,C57BL
