analysis_id,cq1vw25ve98fup8
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.6481394
gene_symbol,Wars2
mouse_strain,C57BL
parameter_name,HRV
