analysis_id,132mpahbuko1u94
mouse_life_stage,Late adult
pvalue,0.2040303
gene_symbol,Secisbp2l
parameter_name,Latency to center entry
mouse_strain,C51BL
gene_accession_id,MGI:1917604
parameter_id,IMPC_OFD_018_001
