parameter_name,CV
analysis_id,0k7i1oii815q1g5
mouse_strain,C54BL
gene_accession_id,MGI:1914556
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
pvalue,0.6326281
