parameter_name,Phosphorus
mouse_life_stage,E9.5
pvalue,0.7668384
analysis_id,9v7098zpk09294h
gene_accession_id,MGI:3026886
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,HMGULA_CBC_010_001
