analysis_id,e70e9be632k5rc9
gene_symbol,Cntfr
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:99605
parameter_name,Corneal vascularization
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.660327
