gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,k76p8h2251ie34p
pvalue,0.9235554
