analysis_id,r15170r4yi49468
parameter_id,IMPC_GEL_027_001
pvalue,0.2350468
gene_accession_id,MGI:2446274
parameter_name,Neural tube closure
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Frmpd1
