gene_symbol,Rab22a
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
pvalue,0.5841926
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
analysis_id,0r2x1n9p4z6523v
