analysis_id,65hj0792d22t4wm
pvalue,0.2324131
parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
gene_symbol,Ints7
