parameter_name,Light side time spent
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
mouse_strain,129SV
analysis_id,903d5b4q3b97jg3
pvalue,0.5258978
gene_accession_id,MGI:1920638
