parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
analysis_id,5qj4ez9716682y5
mouse_life_stage,Early adult
pvalue,0.7028056
mouse_strain,C57BL
gene_accession_id,MGI:2443129
gene_symbol,Golm2
