analysis_id,88u777846385254
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
pvalue,0.6922116
gene_symbol,Ntmt2
parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
