gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
analysis_id,w025uk44a5fcdeu
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.4885323
mouse_strain,C57BL
gene_accession_id,MGI:104848
