analysis_id,h4w0930hlhn18g7
gene_symbol,Psmd14
pvalue,0.8145472
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_accession_id,MGI:1913284
